DEPT,DPHI_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,DTC_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_PRE
3013.0,0.301,107.06,0.424,3.49,0.0,2.07,2.196,122.54,839.5732,5783.4819,261.5754,73.5175,88.0097,737.5679,0.4209,2.0001,6.7892,0.0142,0.155,0.2931,
3013.5,0.301,105.78,0.425,3.46,0.0,2.09,2.196,122.57,808.4726,5295.8347,273.7036,76.7964,89.6196,733.9307,0.3953,1.7969,6.0028,0.014,0.1565,0.2943,
3014.0,0.3,106.86,0.432,3.42,0.0,2.15,2.198,123.39,798.6919,4602.398,288.075,88.6673,90.4718,684.8372,0.3134,1.5818,5.3883,0.0112,0.1427,0.2973,
3014.5,0.3,107.3,0.439,3.36,0.0,2.14,2.198,124.23,746.6768,3664.9429,306.5357,103.4515,95.7044,663.9713,0.2701,1.351,4.6743,0.01,0.1344,0.3062,
3015.0,0.301,105.82,0.446,3.32,0.0,2.14,2.197,124.96,703.4514,3122.0689,308.1872,122.7351,104.0393,650.4698,0.2544,1.2495,4.3187,0.0092,0.1287,0.307,
3015.5,0.301,100.7,0.444,3.33,0.0,2.12,2.194,124.49,739.1837,3705.3484,342.8454,128.8665,113.557,718.0458,0.3082,1.3002,4.6603,0.011,0.1529,0.3479,
3016.0,0.304,94.52,0.433,3.37,0.0,2.1,2.189,122.87,709.3022,4488.379,317.8986,112.8159,119.5298,818.7403,0.4258,1.4006,4.6428,0.0156,0.1902,0.3322,
3016.5,0.308,91.33,0.424,3.44,0.0,2.08,2.179,121.46,757.6144,6633.4346,316.0042,118.3941,144.7164,1039.62,0.6005,1.811,5.8751,0.0238,0.2771,0.3722,
3017.0,0.315,91.76,0.422,3.48,0.0,2.01,2.168,121.27,702.1414,6967.8962,245.9417,130.5417,177.1708,1207.7611,0.7763,2.222,7.0924,0.0311,0.3221,0.3673,
3017.5,0.323,93.27,0.433,3.51,0.0,1.95,2.155,122.54,670.0362,7373.2286,162.5343,184.109,242.6444,1366.3333,0.9408,2.9306,10.4916,0.0333,0.3375,0.3805,
