DEPT,DPHI_D,DTC_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR,K_SDR_PRE
4023.5,0.137,98.1,93.8,0.276,2.67,0.218,1.62,2.476,0.5428,0.4418,0.7701,0.7258,1.0784,1.8907,0.0774,0.0408,0.0657,0.0486,0.0529,0.0789,1.325356837,0.07298663258552551
4024.0,0.144,91.51,88.53,0.263,2.68,0.212,2.02,2.464,0.6695,0.538,0.9535,1.0696,1.7608,2.7665,0.0862,0.0408,0.0836,0.0392,0.0584,0.1156,1.48451481,0.06893375515937805
4024.5,0.148,86.12,78.77,0.218,2.69,0.186,3.3,2.457,1.6023,1.233,1.3288,2.4565,2.8242,4.0447,0.1302,0.0837,0.0983,0.0882,0.0887,0.1581,1.334789153,0.07486020773649216
4025.0,0.145,84.13,68.99,0.191,2.7,0.17,5.41,2.461,3.4533,1.9795,1.231,3.0581,2.4036,3.6283,0.2221,0.1503,0.0759,0.1804,0.0714,0.1146,0.745648518,0.16530457139015198
4025.5,0.142,83.28,65.81,0.182,2.69,0.163,10.66,2.468,7.6873,3.9895,1.1749,4.5147,1.9915,3.0335,0.6281,0.3964,0.0681,0.6144,0.0577,0.0865,0.548389412,0.195504829287529
4026.0,0.137,84.06,69.87,0.177,2.67,0.158,6.15,2.477,2.6625,1.4746,1.044,1.7732,1.3336,2.4062,0.1911,0.1271,0.0559,0.1262,0.039,0.0658,0.324763736,0.12810438871383667
4026.5,0.133,84.95,72.96,0.173,2.67,0.154,12.64,2.483,5.6229,2.9428,0.9152,2.4686,0.977,2.0425,0.5973,0.3241,0.045,0.4129,0.029,0.0541,0.369880935,0.09575413912534714
4027.0,0.132,86.42,78.66,0.177,2.69,0.157,8.17,2.484,2.9499,1.7055,0.8104,1.6709,0.8806,2.0635,0.2574,0.144,0.0387,0.1572,0.0267,0.0581,1.001668584,0.054241400212049484
4027.5,0.132,87.84,80.53,0.196,2.73,0.167,7.2,2.484,2.8634,1.7376,0.7491,2.0226,0.9433,2.1557,0.2371,0.1097,0.0382,0.1349,0.0287,0.0722,3.068072591,0.047142740339040756
4028.0,0.138,88.17,84.47,0.213,2.78,0.179,4.63,2.473,1.8104,1.2746,0.7775,2.0657,1.3917,2.7367,0.1391,0.0723,0.0471,0.0926,0.0425,0.1018,6.60667863,0.04281360283493996
4028.5,0.147,87.7,80.28,0.214,2.82,0.184,3.62,2.458,1.9059,1.2283,0.8835,2.3222,2.2575,3.9772,0.1163,0.0669,0.0564,0.0925,0.069,0.1519,6.45441954,0.048775024712085724
4029.0,0.16,86.47,74.47,0.211,2.85,0.187,4.61,2.436,5.7407,3.048,1.2588,6.2761,4.9813,7.1169,0.2261,0.1496,0.0753,0.3071,0.1579,0.2853,4.614277316,0.06623575091362
4029.5,0.167,85.73,68.76,0.194,2.88,0.181,9.82,2.424,22.6417,10.4593,1.4049,14.8036,6.3698,9.4498,0.6851,0.4663,0.0652,2.1383,0.2022,0.3373,3.405059181,0.08680316805839539
4030.0,0.172,85.12,70.54,0.186,2.89,0.179,14.86,2.416,35.2571,17.8416,1.5782,21.2035,7.8406,11.3397,1.1332,0.857,0.062,6.9525,0.2537,0.376,2.643328968,0.06931465864181519
