DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RHOB_N,K_SDR_N,K_TIM_N,K_SDR_N_PRE,K_GD_N_PRE
2462.0,14.7,0.492,-999.25,87.48,0.647,2.47,0.0,1.58,1.868,-999.25,-999.25,,
2462.5,13.4,0.508,-999.25,87.77,0.757,2.39,0.0,1.59,1.842,-999.25,-999.25,,
2463.0,15.2,0.55,-999.25,79.02,0.79,2.35,0.0,1.67,1.76,-999.25,-999.25,,
2463.5,15.29,0.55,-999.25,75.61,0.783,2.41,0.0,1.86,1.688,-999.25,-999.25,,
2464.0,14.97,0.55,-999.25,70.69,0.623,2.46,0.0,2.22,1.667,-999.25,-999.25,,
2464.5,14.27,0.55,-999.25,73.86,0.596,2.61,0.0,2.35,1.684,-999.25,-999.25,,
2465.0,12.21,0.55,-999.25,77.43,0.489,2.72,0.0,1.44,1.723,-999.25,-999.25,,
2465.5,12.21,0.55,-999.25,79.52,0.527,2.79,0.0,1.14,1.77,-999.25,-999.25,,
2466.0,9.13,0.508,-999.25,78.64,0.392,2.75,0.0,1.55,1.842,-999.25,-999.25,,
2466.5,10.16,0.446,-999.25,81.67,0.475,2.67,0.461,1.73,1.948,-999.25,-999.25,,
2467.0,12.43,0.391,-999.25,82.25,0.484,2.71,0.44,1.77,2.041,-999.25,-999.25,,
2467.5,12.95,0.352,-999.25,81.39,0.496,2.81,0.43,1.45,2.109,-999.25,-999.25,,
2468.0,13.1,0.355,-999.25,77.99,0.529,2.96,0.45,1.15,2.104,-999.25,-999.25,,
2468.5,14.39,0.387,-999.25,78.5,0.462,3.09,0.426,1.2,2.049,-999.25,-999.25,,
2469.0,13.62,0.385,-999.25,81.79,0.567,3.18,0.485,1.2,2.051,-999.25,-999.25,,
2469.5,10.56,0.36,-999.25,80.86,0.549,3.26,0.464,1.69,2.094,-999.25,-999.25,,
2470.0,10.79,0.328,-999.25,83.53,0.676,3.26,0.531,1.77,2.149,-999.25,-999.25,,
2470.5,11.78,0.314,-999.25,85.81,0.565,3.26,0.457,1.58,2.173,-999.25,-999.25,,
2471.0,13.1,0.316,-999.25,87.91,0.526,3.25,0.434,1.75,2.169,-999.25,-999.25,,
2471.5,13.64,0.308,-999.25,91.31,0.465,3.21,0.394,1.85,2.183,-999.25,-999.25,,
2472.0,13.22,0.305,-999.25,94.79,0.414,3.11,0.364,1.88,2.188,-999.25,-999.25,,
2472.5,12.81,0.296,-999.25,94.14,0.404,2.97,0.354,1.61,2.203,-999.25,-999.25,,
2473.0,12.47,0.294,-999.25,95.01,0.483,2.9,0.4,1.56,2.207,-999.25,-999.25,,
2473.5,12.41,0.298,-999.25,95.66,0.385,2.95,0.344,1.68,2.201,-999.25,-999.25,,
2474.0,11.62,0.284,-999.25,96.6,0.357,3.08,0.323,1.72,2.225,-999.25,-999.25,,
2474.5,11.31,0.266,-999.25,95.73,0.416,3.22,0.349,1.4,2.255,-999.25,-999.25,,
2475.0,12.21,0.258,-999.25,91.52,0.452,3.29,0.368,1.39,2.268,-999.25,-999.25,,
2475.5,12.14,0.264,-999.25,95.86,0.405,3.29,0.342,1.25,2.259,-999.25,-999.25,,
2476.0,12.5,0.279,-999.25,91.81,0.366,3.27,0.325,1.1,2.233,-999.25,-999.25,,
2476.5,12.99,0.276,-999.25,90.43,0.449,3.3,0.373,1.08,2.239,-999.25,-999.25,,
2477.0,12.88,0.276,-999.25,87.98,0.535,3.41,0.426,1.2,2.237,-999.25,-999.25,,
2477.5,12.41,0.273,-999.25,96.75,0.413,3.5,0.35,1.37,2.244,-999.25,-999.25,,
2478.0,12.14,0.277,-999.25,98.13,0.476,3.51,0.389,1.56,2.236,-999.25,-999.25,,
2478.5,11.44,0.287,-999.25,96.53,0.417,3.43,0.358,1.67,2.219,-999.25,-999.25,,
2479.0,12.59,0.285,-999.25,87.41,0.44,3.36,0.371,1.29,2.222,-999.25,-999.25,,
2479.5,12.29,0.288,-999.25,91.17,0.52,3.3,0.42,1.18,2.218,-999.25,-999.25,,
2480.0,12.77,0.274,-999.25,94.65,0.515,3.26,0.412,1.2,2.242,-999.25,-999.25,,
2480.5,13.55,0.29,-999.25,94.21,0.444,3.21,0.375,1.2,2.214,-999.25,-999.25,,
2481.0,12.9,0.287,-999.25,88.42,0.406,3.21,0.352,1.36,2.22,-999.25,-999.25,,
2481.5,12.36,0.315,-999.25,86.19,0.475,3.26,0.403,1.29,2.171,-999.25,-999.25,,
2482.0,13.04,0.336,-999.25,91.99,0.501,3.27,0.427,1.3,2.136,-999.25,-999.25,,
2482.5,13.62,0.365,-999.25,91.7,0.467,3.19,0.419,1.25,2.086,-999.25,-999.25,,
2483.0,13.6,0.365,-999.25,92.48,0.487,3.11,0.43,1.38,2.085,-999.25,-999.25,,
2483.5,14.12,0.362,-999.25,86.9,0.532,3.2,0.455,1.94,2.091,-999.25,-999.25,,
2484.0,13.6,0.391,-999.25,89.37,0.469,3.4,0.432,2.13,2.041,-999.25,-999.25,,
2484.5,13.4,0.413,-999.25,83.22,0.441,3.49,0.427,1.24,2.004,-999.25,-999.25,,
2485.0,14.18,0.403,-999.25,85.03,0.434,3.34,0.419,1.11,2.02,-999.25,-999.25,,
2485.5,12.45,0.363,-999.25,86.32,0.463,3.1,0.416,1.36,2.089,-999.25,-999.25,,
2486.0,10.65,0.376,-999.25,88.4,0.474,2.88,0.428,1.36,2.068,-999.25,-999.25,,
2486.5,12.54,0.397,-999.25,84.57,0.59,2.7,0.503,1.49,2.031,-999.25,-999.25,,
