DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RHOB_N,K_SDR_D,K_TIM_D,K_SDR_N,K_SDR_N_PRE
4358.5,7.98,0.082,78.95,160.09,0.132,3.9,0.11,2.78,2.569,-999.25,-999.25,0.137916952,0.021144773811101913
4359.0,7.99,0.085,78.93,150.24,0.134,3.82,0.112,2.77,2.564,-999.25,-999.25,0.127754301,0.017581958323717117
4359.5,7.91,0.095,80.1,135.4,0.15,3.67,0.126,2.67,2.547,-999.25,-999.25,0.10112346,0.01584741100668907
4360.0,7.83,0.097,81.16,128.77,0.166,3.52,0.136,2.67,2.544,-999.25,-999.25,0.082346566,0.01569606363773346
4360.5,7.85,0.099,82.27,121.6,0.172,3.39,0.14,2.39,2.54,-999.25,-999.25,0.053056341,0.012528135441243649
4361.0,8.03,0.106,85.81,122.7,0.205,3.36,0.163,2.12,2.53,-999.25,-999.25,0.051632576,0.020873766392469406
4361.5,8.09,0.12,88.27,120.3,0.225,3.39,0.18,1.89,2.505,-999.25,-999.25,0.05711012,0.027880126610398293
4362.0,8.0,0.121,84.47,126.64,0.188,3.42,0.158,2.14,2.503,-999.25,-999.25,0.09526293,0.023497136309742928
4362.5,8.02,0.109,84.92,125.72,0.199,3.36,0.16,2.26,2.523,-999.25,-999.25,0.077462874,0.021659083664417267
4363.0,8.05,0.084,86.19,117.99,0.225,3.21,0.17,2.44,2.566,-999.25,-999.25,0.009281352,0.004658770281821489
4363.5,7.88,0.065,85.25,107.31,0.22,3.07,0.162,2.53,2.599,-999.25,-999.25,0.005928081,0.0030330342706292868
4364.0,7.87,0.058,81.61,103.53,0.184,3.12,0.136,2.84,2.611,-999.25,-999.25,0.007327384,0.0034344708546996117
4364.5,7.96,0.067,80.47,118.27,0.166,3.33,0.127,2.88,2.595,-999.25,-999.25,0.012052568,0.0038673102390021086
4365.0,7.94,0.075,79.5,142.68,0.135,3.43,0.109,2.53,2.581,-999.25,-999.25,0.070498876,0.01232435368001461
4365.5,7.94,0.082,83.55,163.69,0.169,3.26,0.133,2.23,2.57,-999.25,-999.25,0.14244771,0.030323799699544907
4366.0,7.97,0.091,86.97,175.57,0.197,2.91,0.153,2.03,2.554,-999.25,-999.25,0.207625896,0.039019111543893814
4366.5,7.96,0.106,87.93,166.84,0.21,2.68,0.166,2.0,2.528,-999.25,-999.25,0.438079745,0.06412876397371292
4367.0,7.91,0.12,89.35,157.81,0.229,2.64,0.183,1.98,2.505,-999.25,-999.25,0.867172837,0.12765203416347504
4367.5,8.06,0.125,89.03,154.49,0.241,2.68,0.192,2.29,2.497,-999.25,-999.25,0.913214505,0.15081118047237396
